,CPEB1,SIAH2,NOS2,CS,NDRG1,PDSS2,PIR,PARP3,DHODH,GSTZ1,ALOX15,MAP1LC3A,MPC1,DPEP1,GRIA3,CHAC1,FLT3,MTF1,CHMP6,CISD1,BRD4,IL6,HCAR1,PARP12,NR1D1,TSC1,IFNG,GJA1,SLC7A11
TCGA-AC-A2BK,0.0721744169243166,5.97850683742942,1.73508887047818,7.33425361713848,5.65062097165315,4.45776499935645,5.57358660060263,2.59282775478428,3.16172647839428,2.55638036421059,0.142217361803823,4.9356388948897,4.80301516379821,0.269152867217174,0.0760117385696413,2.97135041531262,0.325501549334499,3.69145599820966,5.43878852647635,5.17997674585114,5.65040843597675,0.457436697772369,4.38194088113908,4.52159101801106,3.51505639473331,3.80383664263332,0.761540595022473,5.69213702293913,0.981779603590194
TCGA-A8-A08T,0.155619721026447,7.91383366311042,0.511468039275866,6.38241479360551,6.02171734387788,4.61883769608902,3.65490521102456,4.04108524455938,3.06225989447013,3.87140012899743,1.13198450875653,5.39670067226479,5.45132652281922,4.64137839853113,0.0760117385696413,1.11722958209437,0.479023559980514,4.2806594324552,4.54315558503031,4.31386256642524,5.03133343574808,0.294194309759318,6.37576928515511,4.14209480072625,4.34375601701001,4.05516094027682,0.254835882785763,7.24805184561906,2.4530434070837
TCGA-AO-A03P,0.268314613175228,5.88482744459623,0.692873507463998,6.44134403711197,4.90082334538342,4.05608925129286,3.65362184773292,3.63675221004088,2.68066192149265,3.59148793839794,4.78672180817939,5.11870856212563,5.51299481289467,0.92333937163215,0.154323964660477,0.628260338337299,1.92793436900039,3.01349799174898,4.43498176968845,4.91995498000381,5.21144836362666,0.222186307322112,3.83942553029291,4.92600416425579,5.3426685182025,2.59483514923495,0.400428630364699,10.3417728708697,0.584866317845632
TCGA-A8-A08X,0.274887811577583,5.01805103233032,0.556306784224977,5.80808381414158,7.04814679927544,3.1808480286271,2.92059819692919,2.9254867910959,2.14094221737709,2.03927879535137,3.2628089671208,4.14773814011518,5.03046851063771,2.81011401256243,0.3489122409942,2.93644007011421,1.07169403326968,2.93764570690506,3.66971845813978,3.28583126435286,4.2268861089044,0.538538163629804,0.844466001366095,3.40668631960533,3.46504718604421,3.71283785999012,0.891030267840923,5.47528596401705,0.530570203902529
TCGA-E9-A3QA,0.168128529576949,6.10898019278731,0.785676088992904,5.8298292686325,7.40479840990363,3.45855261848062,6.03882902375468,4.40864393593509,2.94270216078187,1.90812117040614,1.02545409642775,6.67467391014671,6.51545069566186,1.61221093546661,2.07388876824529,4.99122250540369,2.16137176621534,4.06144788231854,4.93198083034958,4.39576888900697,5.56929968398815,2.07457393877531,3.41782551683135,6.59728087084445,3.54249331990229,2.33819618990465,2.19610339771481,4.59725703016228,3.13825746275896
TCGA-AC-A3QP,0.982436917767054,6.41244282477561,0.496002086365443,6.06321169904943,4.10967815139454,4.13740515482544,2.63196568320822,5.0633131015215,2.56479274662002,4.37235317161294,0.044464066513246,6.26916783161389,5.78620688620541,3.03488477906259,0.248899107076326,1.11416709954703,1.0775848292956,2.82781902461732,5.17753116188818,4.96691030141026,3.97599695761644,1.53540602987803,5.05712963765855,4.32950395827175,3.58019373428679,2.7014825206644,0.433707277495855,7.19981660712746,0.697773819555186
TCGA-BH-A0BL,0.674641429085824,6.03117019876859,0.913032999952141,6.33961844065344,7.11471370489478,3.89423571850141,4.33987137598617,4.72444836760352,2.65051183562216,2.59146400179373,0.615322123494705,5.59695302692564,6.33203117601946,1.62171197714902,1.56242561196062,3.58902037958596,1.9919707406609,3.8074373594189,4.49711413788401,4.89384270546737,4.94188568169786,3.42134450071843,2.94354630834475,5.47583068802794,4.32862107767448,3.26365042530438,2.54460902638193,8.08794913845539,2.53694808833939
TCGA-WT-AB44,0.775092694119104,4.69029416507873,0.219091058246197,4.42930128177841,4.03503439559775,2.73298548420619,1.72132890763703,4.96602894499441,2.03044202515687,3.2897164484863,0.838427421907057,5.83879801243222,6.14866164202487,1.1627256528462,0.16658691407045,1.76205110282712,0.230817841861083,1.65905685429503,3.20296617056141,3.32397526869577,3.91315749694041,1.41878363851174,3.14334443545872,4.23812190515758,3.45015549735919,2.81508351715437,0.0,5.38901605968851,0.512277462140713
TCGA-AN-A0AM,0.995665409736109,6.16985086104214,0.27953072572999,7.79134003932663,5.13822469099359,4.96951891221897,8.87701996038971,5.00910526942838,2.69545938263856,3.32689682663604,1.14587306160104,5.774644759374,5.72586110348619,0.261711328876685,0.631895859053804,2.29545855518118,1.97357454188719,3.92941228790125,5.49559923556257,4.82950964438986,5.16854175578367,1.10312831621723,3.14326279303862,4.9516996851273,3.64794763658248,2.05779682396094,1.77027934320973,6.29212097609327,3.02460336714066
TCGA-A7-A5ZV,0.366923648978518,6.25105439100039,6.07718317029094,5.79665485440596,9.76414724234636,4.37459438689019,5.64182922267321,3.55231558431578,3.03127167257659,2.14551442959617,1.28332916805164,7.05331664516552,6.31246914189278,0.445938537289266,0.166458371722533,3.88023491876846,0.192825403552391,4.66140758035968,5.26629181758064,5.49985864013217,4.88822695171778,0.309758271424635,2.01984422012829,4.49399951145551,5.1134796445842,3.38781744747575,0.0,7.47067026103778,2.52822122907353
TCGA-E2-A2P6,0.276317992652217,9.05505543723982,0.68885174386588,5.4924460824077,4.39841194080453,3.79639009733101,3.27811859939299,5.6624960606253,2.12512206056982,3.61188056710276,1.26369548957408,7.00919262790739,6.26899760244143,2.54878184374109,0.088548697010238,2.79495645076675,0.410449655461803,2.90133998264089,3.88424623952767,3.40778780562436,4.74108940932213,0.843099470232019,4.62307086632125,4.47517569722432,4.20040234046558,3.55189740470715,0.421263700854267,6.20039645488121,1.65654213334999
